"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000189229",34.5420254774513,-0.180167289026816,0.503094328463387,-0.35811830671418,0.720254779607352,NA
"ENSG00000231574",32.0481485630278,-0.234059178206216,0.504592015828161,-0.463858267400579,0.642749294049024,NA
"ENSG00000305740",7.23309519661553,-1.1162880812862,1.21063247184863,-0.922070163525052,0.356491978787315,NA
"ENSG00000239589",3.51094863043658,-0.36098680700553,1.62667492620647,-0.221916992258176,0.824378502412345,NA
"ENSG00000287964",2.96946663024588,1.60630848138136,1.87345184026299,0.857405804013552,0.39122065277344,NA
"ENSG00000287286",2.89736447040472,-2.9898145397593,2.07331106651022,-1.44204822327589,0.149288770022504,NA
"ENSG00000236833",11.2410532617056,0.261021539611493,0.912764927915894,0.285967976670051,0.774902648686029,NA
"ENSG00000235831",39.8649518079666,0.410042315891757,0.454325051582914,0.902530719939675,0.366775010208804,NA
"ENSG00000305983",30.2714907563938,0.0499993854782978,0.515853080439527,0.0969256312973771,0.922785453804734,NA
"ENSG00000305988",10.9161159023076,-0.796339049923568,0.88100502619309,-0.903898418564792,0.366049267813409,NA
"ENSG00000305998",11.5666694949495,-0.447952557956085,0.942050507680154,-0.475508005466915,0.634424928589842,NA
"ENSG00000306045",4.94194608077149,0.766908336653542,1.29899114030528,0.59038765766586,0.554930783299657,NA
"ENSG00000240086",47.6815781702046,0.514589846837718,0.462782611554657,1.1119472382703,0.266160836431748,0.501245485211845
"ENSG00000248724",3.44503431912838,-0.871480081971455,1.8542311679243,-0.469995379781597,0.638358318486739,NA
"ENSG00000306101",2.93489578516934,-1.18985741719438,2.04432566116331,-0.582029292004927,0.560546950630385,NA
"ENSG00000306223",4.78172126493233,-0.214560354381457,1.33343017670853,-0.160908578588706,0.872165405615978,NA
"ENSG00000241472",21.0000635584186,0.0434294928433308,0.627256234124805,0.0692372438576507,0.944800777913732,NA
"ENSG00000241369",29.0702408985126,-0.091115960143872,0.55862738667665,-0.163106862135659,0.870434296950288,NA
"ENSG00000261468",12.3179531314815,0.232792033664006,0.825549415861823,0.281984372093566,0.777955493517613,NA
"ENSG00000306468",13.192384330503,0.923290555069996,0.918283111140837,1.00545305022864,0.314678745980585,NA
"ENSG00000306673",20.6102411044029,-0.522566636780393,0.618739780375945,-0.844566089581121,0.398353148959757,NA
"ENSG00000231873",2.4101599723566,0.406834762373094,1.97452276890905,0.206042071927018,0.836758047660751,NA
"ENSG00000230530",19.120148314028,0.35677401403188,0.693982295777775,0.514096708521979,0.607184378542636,NA
"ENSG00000306828",71.4296762832375,0.0189712913762538,0.35530489990019,0.0533943983929946,0.957417668282937,0.981613185785204
"ENSG00000288990",2.25861019355351,-3.2789697052957,2.47937982487549,-1.32249592111623,0.186003066708796,NA
"ENSG00000224514",3.74159318249202,0.371967951804939,1.50011193731796,0.247960130541977,0.804165254809842,NA
"ENSG00000306963",7.7059865892778,0.254514804693523,1.07647926837253,0.236432611543285,0.81309699304798,NA
"ENSG00000307028",3.32631678572323,2.33728233283574,1.77452145731471,1.31713388034915,0.187793752182579,NA
"ENSG00000290993",720.54443767273,0.059163958753348,0.110318940447998,0.536299193167436,0.591751788141342,0.787974473786674
"ENSG00000227375",27.4167094044656,0.427962008218015,0.601224468770232,0.711817350171035,0.476577887342966,NA
"ENSG00000290862",252.529973183657,-0.242631097382225,0.199564637096705,-1.21580206248991,0.224060332950808,0.450315820260594
"ENSG00000307193",3.41361200158868,-1.13306071517679,1.61825755638496,-0.70017328867473,0.483819090869501,NA
"ENSG00000307241",19.8887685876653,-0.645382325233094,0.669123959227433,-0.964518332265743,0.33478612193644,NA
"ENSG00000307279",1.90695474178375,2.12561721029939,2.56079433323573,0.830061665910333,0.406503919323228,NA
"ENSG00000307406",8.14064777551442,-0.268412813834999,1.04132345695476,-0.257761228792391,0.796591188496598,NA
"ENSG00000289641",6.96588640820434,0.745760432817547,1.0798746368415,0.690599081944183,0.489817524569601,NA
"ENSG00000290035",19.8539829540647,0.0226112862506823,0.655611189586253,0.0344888656719723,0.972487320974241,NA
"ENSG00000232065",8.56796394763315,-0.49406882349656,0.995747202569496,-0.496178972154409,0.619768145488758,NA
"ENSG00000307620",53.8675291399052,-0.0102278617759213,0.400815974381573,-0.0255176001697588,0.979642110152714,0.99149378488855
"ENSG00000272360",9.09914888807685,0.669143795962604,0.930029298723616,0.719486791309635,0.471841037815888,NA
"ENSG00000307956",58.7435518022937,0.144535369844783,0.408222803502007,0.354060009888869,0.723293910816909,0.867154392231161
"ENSG00000230454",84.8690510420793,0.339718704167802,0.336870940508454,1.00845357469852,0.313236764403938,0.554079848620762
"ENSG00000235629",2.96815167721571,-0.28687156627948,1.82275478799059,-0.157383520904492,0.874942600019069,NA
"ENSG00000308062",3.22809743678832,0.663054273498447,1.59783859336391,0.414969494573621,0.678164234820653,NA
"ENSG00000239774",9.1498167197013,-1.12477784693314,0.995057054721971,-1.13036518016287,0.258322379859711,NA
"ENSG00000288700",6.59976713039015,-0.407087714850482,1.15351932507934,-0.352909314997806,0.724156427238073,NA
"ENSG00000308136",7.21899388485719,0.955867508482172,1.04165037185348,0.917647162916413,0.35880361797579,NA
"ENSG00000272758",58.4081702675451,0.211847891502391,0.436498491709243,0.485334761806016,0.627438900944918,0.812220656716032
"ENSG00000308148",1.73177152021588,-1.42511014390615,2.47477460023066,-0.575854521770721,0.564713517475518,NA
"ENSG00000308202",1.78496151603719,-1.60115212220582,2.27144074514381,-0.704905961394316,0.480868760032321,NA
"ENSG00000308407",29.0641741532717,0.270923693917585,0.55630126031575,0.487008952242554,0.62625198684235,NA
"ENSG00000308417",4.12372346936602,0.16613253143446,1.36710550022106,0.121521368619756,0.903278090417009,NA
"ENSG00000243276",175.502880018143,-0.00239438570085275,0.217550944106333,-0.0110060919785411,0.991218586423951,0.995791803611691
"ENSG00000286856",2.66855491422468,-0.104040219856537,2.00332187126593,-0.0519338511443458,0.958581401347497,NA
"ENSG00000308460",8.4916430023005,0.326600292239496,1.08997027874916,0.29964146601713,0.764450651309587,NA
"ENSG00000270959",112.884562973218,-0.169042619283871,0.282896497203902,-0.597542284738969,0.550145384505762,0.7575030748087
"ENSG00000308491",3.08973184268124,1.37280728297564,1.69372104537712,0.810527380953681,0.417637134722266,NA
"ENSG00000233153",2.19079546034789,1.47880082868555,2.06543725291607,0.715974705403284,0.474006967795209,NA
"ENSG00000308511",10.0533201760526,-0.167838783270094,1.04075894919558,-0.161265760337511,0.87188408954172,NA
"ENSG00000308516",7.32510104076206,0.175755889938857,1.12696885995687,0.155954522066904,0.876068868634756,NA
"ENSG00000242622",211.5835531415,0.0443551211864698,0.226018183752358,0.19624580841278,0.844417775148496,0.9299769296815
"ENSG00000286447",37.756332543741,0.444635618157078,0.526691955590825,0.844204308490533,0.398555247372466,NA
"ENSG00000308629",77.2329980163382,-0.0568675165227973,0.323311067031699,-0.175891029790272,0.860379552675754,0.937139409566434
"ENSG00000225611",13.4457822780344,-1.56842942028894,0.81155132049185,-1.93263122206292,0.0532816433662159,NA
"ENSG00000287421",11.7587201351413,-0.332489914811049,0.842963066145544,-0.394429991258528,0.69326360495998,NA
"ENSG00000231304",4.20513271903543,0.672478296745889,1.47271205790773,0.456625783115589,0.64794004383213,NA
"ENSG00000308953",5.11226558410127,-0.830165489073282,1.38755607821672,-0.598293288542403,0.549644254024553,NA
"ENSG00000309074",5.91961279777557,-0.0752131302023431,1.35294932793721,-0.0555919786863102,0.95566685470545,NA
"ENSG00000286086",1.93816636496631,0.137403840893464,2.37941483342331,0.0577469043915213,0.953950231704905,NA
"ENSG00000241679",3.28030659902025,-0.4353124390817,1.6272010592704,-0.267522219581693,0.789067108645302,NA
"ENSG00000309418",36.164279473472,0.666188716644636,0.523749115564138,1.27196151143296,0.203386794720825,NA
"ENSG00000271270",224.145485573765,0.687557985968786,0.211304559555687,3.25387198181867,0.00113843570083964,0.00818830418900219
"ENSG00000309424",6.95854925194061,-0.709625378412784,1.17528491067726,-0.603790086953352,0.545983210936134,NA
"ENSG00000309438",2.32356478138021,-2.2699718833887,2.57648529853969,-0.881034285223859,0.378299263353451,NA
"ENSG00000250608",16.0243751719735,-0.568890862441501,0.720821488210096,-0.789225726128309,0.42998008839858,NA
"ENSG00000250129",426.763654951634,-0.163751987477574,0.140913810677255,-1.16207195512317,0.24520623809231,0.475646111583254
"ENSG00000293492",3.03262171308375,0.420832364444678,1.70757644710546,0.246450087290697,0.805333837535403,NA
"ENSG00000309677",17.8548160677657,0.294886721684236,0.67802721887292,0.434918707503253,0.663621435114725,NA
"ENSG00000235236",3.47403006063144,-1.28902257140089,1.57564942777223,-0.81808970236698,0.413305968451428,NA
"ENSG00000288585",6.74994860895132,1.89840303948487,1.15134151957518,1.64886179053574,0.0991759525663269,NA
"ENSG00000239572",14.8139404088133,-0.0212306729760883,0.828644395658822,-0.0256209697275617,0.979559660135359,NA
"ENSG00000243694",2.2374717392221,-2.84334356541021,2.23673524301882,-1.27120255930365,0.203656596336045,NA
"ENSG00000309996",3.31977005759333,-1.10275947446259,1.60509582000974,-0.687036537454758,0.492059704141017,NA
"ENSG00000265992",46.9312018701381,-0.000138627717906239,0.496060745099802,-0.000279457141641693,0.99977702546418,0.999874200110474
"ENSG00000233058",92.2073422759232,-0.492079974506459,0.315346449645417,-1.56044241201943,0.118655368847371,0.297416428076451
"ENSG00000310154",21.0767769894051,0.782479931343563,0.648699063272242,1.2062294762636,0.227729021460556,NA
"ENSG00000293490",23.3562937711569,-0.695910690497013,0.613279971449218,-1.13473572086911,0.256486065782278,NA
"ENSG00000279277",153.398929656521,-0.263217217705427,0.231783958477199,-1.13561447235064,0.256117949255928,0.48993405974686
"ENSG00000310446",41.3239581986989,0.605692297660069,0.470720637165275,1.28673410477094,0.198186981569553,NA
"ENSG00000277855",46.7869286813754,-0.206370361126758,0.442249098454097,-0.466638285636163,0.640758690461861,0.820688772528794
"ENSG00000228221",3.68161098100494,-1.53270480846756,1.61547077267773,-0.948766659471665,0.342739302396978,NA
"ENSG00000270562",31.3423554342715,0.310872641054784,0.542780852440451,0.572740618349077,0.566820330910965,NA
"ENSG00000286531",21.6100650275024,0.954755010900135,0.676882580563064,1.41051792189115,0.158386808313807,NA
"ENSG00000296737",4.80232739443713,-1.92017399210281,1.52846461062257,-1.25627638269014,0.20901578157287,NA
"ENSG00000287059",127.39705372383,-0.00275223494682553,0.25757186017419,-0.0106853091209741,0.991474519059256,0.995791803611691
"ENSG00000268279",19.1345898448404,-0.325818608940602,0.6865352815952,-0.474583925510057,0.635083565812655,NA
"ENSG00000228242",200.73160839195,0.12315985404341,0.20459819314585,0.601959636836158,0.547201005406158,0.755232727110264
"ENSG00000293322",116.462853552316,0.40806061268831,0.290001841916686,1.40709662390883,0.159398739092082,0.362699989825992
"ENSG00000272282",71.6259755019737,0.598877548539552,0.344145066940083,1.74018925758369,0.0818257912846588,0.231595928888662
"ENSG00000225733",5278.51198355585,0.152345089508514,0.0484645496354337,3.14343351283576,0.0016697834397632,0.0112438260749658
